TA DIFFUSER 0.020,,,,TA DIFFUSER 0.025,,,,TA DIFFUSER 0.030,,,,TA DIFFUSER 0.035,,,,TA QUADRANT 1,,TA QUADRANT 2,
X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,radius,inst_Vmag,radius,inst_Vmag
0.02,-0.026897248,0.033518099,3.311256492,0.025,-0.02633047,0.036308428,2.864970613,0.03,-0.030672819,0.042904893,0.837064277,0.035,-0.025496913,0.04330247,1.123777729,0.012187026,2.50266188,0.012187026,2.921982122
0.02,-0.02692443,0.033539943,3.321108562,0.025,-0.026369732,0.036336859,2.897474167,0.03,-0.030840255,0.043024685,0.721936558,0.035,-0.025560336,0.043339882,1.139855379,0.012390605,2.562412443,0.012390605,2.991199958
0.02,-0.026951611,0.033561787,3.331044638,0.025,-0.026408993,0.03636536,2.917843752,0.03,-0.031007691,0.043144866,0.713936197,0.035,-0.025623758,0.043377288,1.155763948,0.012593261,2.609133766,0.012593261,3.057411932
0.02,-0.026978792,0.033583632,3.341018189,0.025,-0.026448255,0.03639397,2.925831472,0.03,-0.031175128,0.043265355,0.728168298,0.035,-0.025687181,0.043414703,1.172573863,0.012796598,2.670359133,0.012796598,3.112249181
0.02,-0.027005973,0.033605476,3.350991739,0.025,-0.026487517,0.036422522,2.93717862,0.03,-0.031342564,0.043386154,0.672683215,0.035,-0.025750604,0.043452343,1.191015969,0.012999705,2.751759633,0.012999705,3.14696584
0.02,-0.027033154,0.03362732,3.360965289,0.025,-0.026526779,0.036451074,2.948514912,0.03,-0.03151,0.043507262,0.59870501,0.035,-0.025814027,0.043489977,1.21786719,0.013202603,2.80610699,0.013202603,3.196475147
0.02,-0.027060336,0.033649165,3.37093884,0.025,-0.02656604,0.036479626,2.959851205,,,,,0.035,-0.02587745,0.043527617,1.244541934,0.013406139,2.857451322,0.013406139,3.25568523
0.02,-0.027087517,0.033671009,3.380881129,0.025,-0.026605302,0.036508178,2.971198872,,,,,0.035,-0.025940872,0.043565369,1.307021872,0.01360882,2.916128902,0.01360882,3.319608493
0.02,-0.027114698,0.033692854,3.390733199,0.025,-0.026644564,0.036536789,2.984354806,,,,,0.035,-0.026004295,0.043603489,1.399938791,0.013812157,2.979774104,0.013812157,3.38593118
0.02,-0.027141879,0.033714729,3.40217307,0.025,-0.026683826,0.036565519,2.984245371,,,,,0.035,-0.026067718,0.043641383,1.445723133,0.01401525,3.041017197,0.01401525,3.456154663
0.02,-0.02716906,0.033736641,3.413054016,0.025,-0.026723087,0.036594193,2.995288098,,,,,0.035,-0.026131141,0.043679277,1.474539847,0.014218179,3.07526374,0.014218179,3.521480306
0.02,-0.027196242,0.033758554,3.423627436,0.025,-0.026762349,0.036622866,3.006897329,,,,,0.035,-0.026194564,0.043717171,1.507015044,0.01442167,3.105817564,0.01442167,3.585982547
0.02,-0.027223423,0.033780466,3.434151589,0.025,-0.026801611,0.036651538,3.018506559,,,,,0.035,-0.026257987,0.043755106,1.538603027,0.014624382,3.148590512,0.014624382,3.653321432
0.02,-0.027250604,0.033802379,3.444675742,0.025,-0.026840872,0.036680211,3.030100614,,,,,0.035,-0.026321409,0.043793177,1.560957409,0.014827719,3.195975538,0.014827719,3.727997797
0.02,-0.027277785,0.033824291,3.455199896,0.025,-0.026880134,0.036708935,3.047520305,,,,,0.035,-0.026384832,0.043831249,1.583311792,0.015030798,3.257822783,0.015030798,3.818349567
0.02,-0.027304966,0.033846204,3.465724049,0.025,-0.026919396,0.036737771,3.059711993,,,,,0.035,-0.026448255,0.043869605,1.612536997,0.015233755,3.319579104,0.015233755,3.906276907
0.02,-0.027332148,0.033868116,3.47640081,0.025,-0.026958658,0.036766571,3.0693469,,,,,0.035,-0.026511678,0.043908109,1.645370251,0.015437206,3.382793898,0.015437206,3.985552438
0.02,-0.027359329,0.033890029,3.487281756,0.025,-0.026997919,0.036795363,3.079270519,,,,,0.035,-0.026575101,0.043946479,1.664299525,0.015639946,3.443286987,0.015639946,4.061241765
0.02,-0.02738651,0.033911983,3.49542097,0.025,-0.027037181,0.036824155,3.089194137,,,,,0.035,-0.026638523,0.043984816,1.676797366,0.015843282,3.502961666,0.015843282,4.134639506
