index Bins bin_centres Counts "Bin Variance" x-coordinate_bin_mean x-coordinate_std x-coordinate_sem y-coordinate_bin_mean y-coordinate_std y-coordinate_sem z-coordinate_bin_mean z-coordinate_std z-coordinate_sem velocity-magnitude_bin_mean velocity-magnitude_std velocity-magnitude_sem radius_bin_mean radius_std radius_sem
10 "(10.6, 11.08]" 10.84 34 0.0 -0.01580421716464706 0.00633505098922926 0.001086452281458469 -0.015804216424647057 0.006335050993848164 0.0010864522822506045 0.006562000455558823 2.2080900736846894e-10 3.786843235041423e-11 3.7378713193617648 1.914605203702836 0.3283520835415213 0.022350537733674545 0.00895911503055911 0.0015364755518698719
11 "(11.56, 12.04]" 11.8 34 0.0 -0.015816216487264705 0.006322554666567771 0.0010843091798025393 -0.015816215830499997 0.006322554718021755 0.001084309188626825 0.006562000469235295 2.1506123988803314e-10 3.6882698359791364e-11 3.788221787473529 1.871089626604051 0.3208892236374199 0.022367507397315946 0.008941442594688851 0.001533444754122101
12 "(12.52, 13.0]" 12.76 34 0.0 -0.015813206931411767 0.006386319783305055 0.0010952448071044306 -0.01581320641082353 0.006386319853707347 0.001095244819178324 0.006562000414558823 2.5904488820460007e-10 4.4425831815488285e-11 3.7391731165058824 1.77213132273119 0.30391801453512174 0.022363251338903295 0.009031620100983516 0.0015489100688633156
13 "(13.96, 14.44]" 14.2 34 0.0 -0.015641545843735293 0.006430539610576542 0.0011028284449167366 -0.015641545535441177 0.006430539736555821 0.0011028284665220048 0.006562000387176471 2.3558778493589057e-10 4.040297179336289e-11 3.731147999661765 1.7134822330010593 0.2938597786265083 0.022120486050694124 0.009094156419735513 0.001559634959049304
14 "(14.92, 15.4]" 15.16 34 0.0 -0.015659917988911764 0.006444019465981979 0.0011051402210466947 -0.015659917543794116 0.006444019694862252 0.0011051402602993378 0.006562000414529412 2.322926884803166e-10 3.9837867413323855e-11 3.7109811452235295 1.6671695562631705 0.28591722009179804 0.02214646809082374 0.009113219886830682 0.0015629043166840364
15 "(15.88, 16.36]" 16.12 34 0.0 -0.015386479275794118 0.006871361293351267 0.001178428739812742 -0.015386478878352941 0.006871361450868305 0.001178428766826691 0.006562000428176471 2.5643919150760605e-10 4.39789585186433e-11 3.417997734157353 1.7480989937786997 0.29979650412209036 0.02175976738796728 0.009717572444404191 0.0016665499252351498
16 "(16.84, 17.32]" 17.08 34 0.0 -0.015666229172088236 0.006833902723672575 0.0011720046481113841 -0.015666228850029412 0.006833902827846421 0.0011720046659770512 0.006562000414529412 2.32292688593415e-10 3.983786743272007e-11 3.5244428358264708 1.7750781766671855 0.30442339581576666 0.022155393538682257 0.009664597989418162 0.0016574648811563503
17 "(17.8, 18.28]" 18.04 34 0.0 -0.015700956971794116 0.007097305400414214 0.0012171778344953247 -0.01570095669097059 0.007097305555092977 0.0012171778610225138 0.006562000428205882 2.2937065128452612e-10 3.9336742168512e-11 3.2832959596147058 1.8957211040806066 0.32511348717461874 0.022204506093175445 0.010037105662943937 0.0017213494201207484
18 "(18.76, 19.24]" 19.0 34 0.0 -0.015530094626441178 0.007079105348602798 0.0012140565513601466 -0.015530094352735294 0.007079105515587423 0.0012140565799977736 0.006562000400852941 2.3435755300053713e-10 4.0191988757052644e-11 3.235679342832353 1.8474868175993453 0.316841375287724 0.021962870252111376 0.010011366911537907 0.0017169352606712794
19 "(19.72, 20.2]" 19.96 34 0.0 -0.01619677822247059 0.0066539417022883195 0.0011411415875631835 -0.016196777852411765 0.006653941879064584 0.0011411416178800627 0.006562000346117647 2.608996980883785e-10 4.474392908626462e-11 3.129433193675588 1.941302365070888 0.33293060894346344 0.02290570316729602 0.009410094723615694 0.0016138179311570792
